shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SHAPE_001,35.681236,139.767125,1,0
SHAPE_001,35.685000,139.760000,2,1.2
SHAPE_001,35.690921,139.700258,3,5.2
SHAPE_001,35.675000,139.680000,4,7.1
SHAPE_001,35.658034,139.701636,5,8.7
SHAPE_002,35.658034,139.701636,1,0
SHAPE_002,35.675000,139.680000,2,1.6
SHAPE_002,35.690921,139.700258,3,3.5
SHAPE_002,35.685000,139.760000,4,7.5
SHAPE_002,35.681236,139.767125,5,8.7
SHAPE_003,35.690921,139.700258,1,0
SHAPE_003,35.674000,139.701000,2,2.1
SHAPE_003,35.658034,139.701636,3,4.2
